Repeat,Feature,Score,Tumor type,Cohort
Repeat59,SERPINB1,0.07142857142857129,LC,discovery
Repeat53,SERPINB1,0.030952380952380953,LC,discovery
Repeat11,SERPINB1,0.05476190476190457,LC,discovery
Repeat91,SERPINB1,0.03809523809523796,LC,discovery
Repeat80,SERPINB1,0.04999999999999993,LC,discovery
Repeat64,SERPINB1,0.03809523809523796,LC,discovery
Repeat49,SERPINB1,0.05952380952380942,LC,discovery
Repeat40,SERPINB1,0.04999999999999993,LC,discovery
Repeat66,SERPINB1,0.01904761904761887,LC,discovery
Repeat65,SERPINB1,0.03571428571428559,LC,discovery
Repeat18,SERPINB1,0.05952380952380942,LC,discovery
Repeat71,SERPINB1,0.05714285714285705,LC,discovery
Repeat45,SERPINB1,0.03809523809523796,LC,discovery
Repeat9,SERPINB1,0.0071428571428570065,LC,discovery
Repeat23,SERPINB1,0.052380952380952195,LC,discovery
Repeat88,SERPINB1,-0.009523809523809601,LC,discovery
Repeat27,SERPINB1,0.04047619047619044,LC,discovery
Repeat72,SERPINB1,0.05714285714285694,LC,discovery
Repeat55,SERPINB1,0.042857142857142705,LC,discovery
Repeat48,SERPINB1,0.02857142857142836,LC,discovery
Repeat89,SERPINB1,0.02857142857142836,LC,discovery
Repeat20,SERPINB1,0.01904761904761898,LC,discovery
Repeat84,SERPINB1,0.04047619047619033,LC,discovery
Repeat70,SERPINB1,0.01904761904761887,LC,discovery
Repeat24,SERPINB1,0.05714285714285705,LC,discovery
Repeat56,SERPINB1,0.033333333333333215,LC,discovery
Repeat26,SERPINB1,0.035714285714285476,LC,discovery
Repeat62,SERPINB1,0.061904761904761796,LC,discovery
Repeat2,SERPINB1,0.08095238095238078,LC,discovery
Repeat61,SERPINB1,0.02142857142857124,LC,discovery
Repeat85,SERPINB1,0.009523809523809379,LC,discovery
Repeat19,SERPINB1,0.061904761904761796,LC,discovery
Repeat46,SERPINB1,0.06428571428571406,LC,discovery
Repeat25,SERPINB1,0.05714285714285705,LC,discovery
Repeat83,SERPINB1,0.10714285714285698,LC,discovery
Repeat86,SERPINB1,0.01904761904761887,LC,discovery
Repeat21,SERPINB1,0.05714285714285705,LC,discovery
Repeat95,SERPINB1,0.05714285714285705,LC,discovery
Repeat96,SERPINB1,0.08333333333333315,LC,discovery
Repeat28,SERPINB1,0.06666666666666654,LC,discovery
Repeat8,SERPINB1,0.023809523809523725,LC,discovery
Repeat4,SERPINB1,0.05714285714285705,LC,discovery
Repeat3,SERPINB1,0.03571428571428559,LC,discovery
Repeat22,SERPINB1,0.011904761904761751,LC,discovery
Repeat1,SERPINB1,0.052380952380952306,LC,discovery
Repeat87,SERPINB1,0.05714285714285705,LC,discovery
Repeat29,SERPINB1,0.04047619047619044,LC,discovery
Repeat57,SERPINB1,-0.0023809523809524835,LC,discovery
Repeat47,SERPINB1,0.052380952380952195,LC,discovery
Repeat58,THBS1,0.016666666666666496,LC,discovery
Repeat57,THBS1,0.0023809523809522615,LC,discovery
Repeat38,THBS1,0.02857142857142858,LC,discovery
Repeat88,THBS1,-0.023809523809523947,LC,discovery
Repeat36,THBS1,0.07380952380952377,LC,discovery
Repeat24,THBS1,0.042857142857142816,LC,discovery
Repeat21,THBS1,0.04761904761904756,LC,discovery
Repeat85,THBS1,-2.220446049250313e-16,LC,discovery
Repeat74,THBS1,0.04761904761904756,LC,discovery
Repeat6,THBS1,0.04523809523809519,LC,discovery
