Gene,C2_mean,C1_mean,C3_mean,C5_mean,C4_mean
IGF1,21.288621307909093,21.309205718303037,21.689583311286544,21.130520580000002,21.713775572499994
IGFALS,24.274035592838985,23.9120793638342,24.381784484713894,24.458962781646335,24.56547880905512
IGFBP2,19.13909768640777,19.6870522973743,19.371550064551077,19.28122713294117,18.612962128737866
IGFBP3,22.416005946228815,22.02946158663213,22.63161498051772,22.638030101158524,22.710584332283478
IGFBP6,18.554579814678114,18.543025631382978,18.69304470861272,18.87203635073619,18.476221775080642
IGFBP7,16.840869074200004,16.998509088385095,16.35650692012145,16.19342979064935,16.590006873846157
IL1RAP,19.644271624915245,19.548269834739582,19.615961093787465,19.620117516809813,19.65917211165354
ITGB1,18.53484744027271,18.7773901458427,18.226518777522656,18.17088644510791,18.245731952432433
ITIH1,26.417629416694908,26.154248215854928,26.311641927438675,26.07709397914634,26.391826012125982
ITIH2,27.218419633008452,27.022757335647654,27.07109442923704,26.8280129076829,27.29349226291337
ITIH3,24.842722969745758,24.933103626891196,24.33615986762944,24.080824044085364,24.4735720837008
ITIH4,27.02500095067799,26.983641733575123,27.01653061297004,26.72433473103659,26.94729232488188
KLKB1,23.463441591610163,23.295972670259083,23.476135211607637,23.632683389085358,23.74872425913386
KNG1,27.139430802118632,27.10381860953366,27.19696502956404,27.096066525304877,27.195609932677165
KRT1,23.76471091012713,23.794686590155447,23.9587866238147,24.008278178220866,23.865552641417327
KRT10,22.60849569461864,22.82860417787566,22.509520205476836,22.790000830670728,22.46509953393701
KRT14,22.222216845695066,22.24963233820652,22.393363489352954,22.621281548588957,22.622003217083336
KRT77,21.051294454748852,20.800421212010864,21.004051748059716,21.526879353428562,21.013942318974358
KRT9,21.596336128632487,21.519970282157875,21.59089664975343,21.96580396751552,21.76869066007999
LAMP2,19.34864689427968,19.372198459637318,19.52297835070846,19.275526878902433,19.531723337698416
LBP,20.21640450863828,20.529559979689115,19.964585481181317,19.980984530880498,19.299258667460318
LCAT,21.729856623601684,21.47524971341969,21.7218410380654,21.498179925304868,21.726764787165354
LCN2,17.89689363407035,18.12626519988702,17.689594200845065,17.662247457785234,17.505596995656568
LCP1,21.10656060309322,21.04473131447917,20.73912893336064,21.073140966890247,20.73028843149606
LDHA,20.174394669090912,20.366004334870464,19.926198376321526,20.43203381268294,19.898608500959995
