Gene,BLCA,BRCA,CECA,CHOL,CRCA,ESCA,HNCA,LC,LIHC,ML,OVCA,PAAD,RCC,SARC,STAD,TGCT,THCA,others
ART3,0.00016647718017590943,0.4780829676864757,0.12592960120803726,-0.030288663717643494,-0.09159513336902028,-0.36563122329427244,-0.2583338737334659,-0.171321943963982,0.4434272631118494,-0.15926750169543744,0.06670747956945763,0.2944876635352068,-0.19456368904515006,0.3795398230723676,0.28541352382244983,-0.18497821769551626,0.37522293473665447,0.26910284833298187
CNDP2,0.2924703361887505,0.3906893069529759,-0.34474363584581624,-0.600523085599653,0.2992303337005757,0.2656213161734201,-0.49515460100406405,-0.204600241899211,-0.013599764422122285,-0.28565616869622357,-0.21992384195506928,-0.5541344914279271,-0.17768484720741648,-0.1590283218102833,0.2144896806637099,0.3843474944043882,-0.9294132042522822,0.014107680268581651
CPN1,-0.4520850579933362,0.41909002916276605,-0.12929462750824394,0.08743205241151648,0.15822581574158454,-0.07131612772979605,-0.10940074656473671,0.058377404405010075,0.23432893119670953,0.02609437905026892,-0.10500738410509558,0.07769591733262246,0.20869063585533518,0.04022839782043055,0.08137318754427218,-0.672768779531225,0.2499966248075352,-0.2561703166942694
DBH,0.038657409753714615,0.45815598572966704,0.20232298976691077,-0.037671783314367525,0.29660126023589173,0.04793019794073629,0.03272804424913879,-0.030827106805723037,0.21917455083728368,-0.05225821730979947,-0.5053563205777349,0.2956352153069664,-0.30354379236568846,-0.5479622308483788,-0.12965877642469809,-0.19550271754659782,0.13120278469966612,0.052522595913908565
FERMT3,0.1626481326358899,0.8714700033338362,0.322868359482868,-0.22051985064106194,0.25622978663543233,-0.5237925975633196,-0.6874458771430917,-0.037240905464549785,0.16172550015225828,-0.11367583579596634,-0.040295890253443586,-0.5867399465552504,0.028094631958518707,0.5236495192787664,0.16108008845314403,-0.06588595106400334,0.5919451400889909,-0.18337252623047906
KLKB1,0.21390214847792288,0.5876959963501763,0.28675116447202964,-1.017008298350864,-0.15173724523516824,-0.1024265832223735,-0.1982462038545602,0.07089595805211227,-0.9913199015496671,-0.021178007054656587,-0.4152559922786018,-0.8634629428340158,-0.23956818426874613,-0.6317642101760986,-0.11859992963374655,0.45675567944280643,0.36743580149396926,-0.11540408168079266
KRT16,-0.19925927738464716,0.35104190324601436,0.06461716137331573,-0.21481748819742227,0.03527579994764927,0.05301505478410956,-0.18413311881780733,-0.1278556837837142,-0.02477436377091126,-0.03626507844275665,-0.34420030967647963,0.2692715180223958,0.20500807460775772,0.1198355908919516,0.18603444894090515,-0.18356693653967798,-0.1570016562375438,0.03565733393410175
PGAM1,-0.17265988972795343,0.3872536706623744,0.1817570817994783,0.1498420516448772,-0.020789460164367873,0.35989130385895085,-0.23693557976335167,0.000787757833203935,0.17607491074389642,0.05814507240543406,-0.03131516174903628,-0.8122275338215333,-0.10497448481760059,-0.3705321460487685,-0.07471242254808276,-0.08950020309178129,-0.02158543852794995,0.03834705550514654
PROZ,-0.10255789646167211,0.373840865929447,-0.018869301594396714,-0.34935061908845216,0.13599213637446178,0.3002529466039123,-0.22603075979461962,-0.03250625917967494,-0.4720006518967425,0.09046776986202978,-0.3748616612357236,0.15190402737870606,0.019640156669560656,0.013532882239489497,0.027836463474485613,-0.27891496327955106,-0.014244847767091251,-0.2556246693590193
PZP,0.011347774622941146,0.38595209605148884,-0.011283251533242823,-0.21372488978215307,0.10124606013603518,-0.41652556650074307,-0.5365894805487473,-0.03246427671351565,0.0836146099564598,-0.08301168970265933,0.07468651491430706,0.01789490008139859,0.10238678416014496,-0.16990323236539098,-0.3525729609666512,0.14138641175516473,0.3270577022644449,-0.11319210771638465
SERPINA5,0.05980318592955985,0.24213959561623746,0.1476293918452075,-0.008449731037753507,0.015481331191154845,-0.1456290855910663,-0.36448601675364745,-0.17896192999055988,0.22197558883870214,0.1846791370055045,-0.1944200463243864,-0.5148197413677581,0.13443458978143344,-0.4676411184051312,-0.08166494202997202,-0.1933595180177992,0.2060971220967433,-0.019521775238476265
ABI3BP,0.10638908969904996,0.013750388033146451,0.5301266893434807,-0.466927557337673,-0.34128303187796777,-0.1890016901749641,-0.2694960360618602,0.18281348389300842,0.5216078776658815,-0.05377616743250082,-0.8426091603838812,-0.158934611643098,-0.08008306927966442,-0.022545724294563786,-0.10750106369223907,0.36022357008440226,-0.3597669299980885,-0.11555819844813697
AFM,0.2098093744831038,0.37044756564418635,0.5742485416770153,-0.21357035207301972,-0.09403126160379084,-0.27654985367483775,0.34380359750048417,-0.06559819949997057,-0.09845010523260862,-0.11977980665575806,-0.4876598797878609,-0.40776434943121515,0.17833707434540577,-0.9310075000302049,-0.41032445574624943,0.20263238842118989,0.5016674331540407,-0.1282444137962209
AMBP,-0.33657810151466844,-0.052813833027338226,0.4715129945114797,0.3556724972606324,0.20148710933513644,0.15926847246523626,0.25621212494262685,-0.042304151418410194,-0.3028745668001357,0.1895596976168288,-0.24129473164610746,0.17246461162990892,0.3696028635787144,-0.3876511555312829,-0.02689116175162791,-1.0620338232733317,0.34438465511232963,0.16332138347445838
CCDC88B,0.16580033338586936,0.3980049588079831,1.0515768870431133,0.1865008098779362,0.16603606133640442,-0.15572696128666472,0.28092266739815014,-0.5364267948597228,0.22875531999642115,-0.06734227843982106,-0.13152311400725172,0.7214591448395131,0.13763786520919055,-0.2750222642990176,-0.23454954963173621,0.5667002048784208,0.5120718950188953,0.18710871780492735
CFP,-0.1977143657842983,0.22984159861165368,0.34180882682913427,-0.5056990470949475,-0.41929969920294247,0.07595392366278413,0.02829184107311109,0.2536330255513863,0.19021541684711293,0.05709107981069542,-0.6722218637907463,-0.42135323189372514,0.03514846795372002,-0.4763803241271539,-0.6186988766144619,0.20047295256785663,-0.07013888722896412,-0.033940261505874744
COTL1,0.44384539978072546,-0.28817540588362367,1.1174196627532054,-0.4653901179335621,0.0430019296843664,0.24337671236651728,-0.38841336273738164,-0.2023022093492304,-0.23886578233399838,0.3694698661722245,0.32608746573032343,0.2525454666531285,-0.3506069048585044,0.0859215981790562,-0.285539049936437,0.5502556575996977,-0.18872626837208467,0.3699311514325493
F13A1,0.3596596504766829,0.50965304315813,0.6389636349777987,-0.2117751364211918,0.029811157357064435,0.22997546466365243,0.12026297478218144,-0.08962854962188958,0.04096012340729397,-0.1514296208602292,-0.8733009340082402,-0.8376919167735343,-0.08012327591777994,-0.5883800126620762,-0.6546201959028602,-0.2783723942059321,0.3867256866153992,0.27856687385815193
F13B,0.3009833335647125,0.5610308742572913,1.0294319988729657,-0.37728373913281027,0.024687745342302458,0.26651771291053705,0.2029702340224,-0.004334854468374096,-0.1844727439776751,-0.1592744164016478,-1.0549091243158293,-0.5990905942781091,-0.16423946809421006,-0.5424271635678439,-0.5218835572550736,-0.5767513556540489,0.7917861459894383,0.21359293893208253
FN1,0.22305041468141668,0.18947319211593186,0.6963191893402195,0.1939145784821971,0.1150449684657683,0.008721878973874444,-0.48358676757950103,-0.2994401037056661,-0.12029119129496142,0.10484689875584133,0.09990440518382009,0.33911932599243116,0.06168888248318368,0.01645240687607757,-0.06936956366936159,-0.5021586327360528,0.6260454474455418,-0.011677225289787494
FREM2,-0.34589783138460717,0.3318151088433385,1.7864259013925647,-0.18973004818862427,0.18252121496641988,-0.4446731449492163,-0.028190353429694188,0.08254351078015468,0.050346449332024326,-0.35206199980753955,-0.6352956244842737,-0.7597085772151242,0.7033449882873236,-0.36339207886075614,-0.40065932628846357,0.19375983958900517,-0.516977904746097,-0.2711118842804582
GPNMB,-0.07375108196469357,-0.3335807578461248,0.5370341408976045,-0.3340078347893489,0.06200666454164385,0.021963439166068084,-0.4126821656644181,-0.20407954991375418,0.25759510613687264,0.07087855802693926,0.19896757607305465,-0.19231113024632077,0.23372800454963127,-0.09492888713083261,0.3002635712551097,0.28433917614645693,0.45586186782810795,0.11113667107628647
